Orden;Familia;Genero;Nombre_Cientifico;Count;Municipio;Departamento;Latitud;Longitud;Date;Clasificación
Passeriformes;Tyrannidae;Pitangus;Pitangus sulphuratus;1;Manizales;Caldas;5.068;-75.505;09 May 2020;R
Passeriformes;Vireonidae;Vireo;Vireo leucophrys;1;Manizales;Caldas;5.068;-75.505;09 May 2020;R
Columbiformes;Columbidae;Patagioenas;Patagioenas fasciata;1;Manizales;Caldas;5.068;-75.505;09 May 2020;R
Passeriformes;Parulidae;Myioborus;Myioborus miniatus;1;Manizales;Caldas;5.068;-75.505;09 May 2020;R
Passeriformes;Corvidae;Cyanocorax;Cyanocorax yncas;2;Manizales;Caldas;5.068;-75.505;09 May 2020;R
Passeriformes;Thraupidae;Tangara;Tangara arthus;1;Manizales;Caldas;5.068;-75.505;09 May 2020;R
Passeriformes;Furnariidae;Synallaxis;Synallaxis brachyura;1;Manizales;Caldas;5.068;-75.505;09 May 2020;R
Passeriformes;Tyrannidae;Zimmerius;Zimmerius chrysops;1;Manizales;Caldas;5.068;-75.505;09 May 2020;R
Passeriformes;Tyrannidae;Contopus;Contopus virens;2;Manizales;Caldas;5.068;-75.505;12 Apr 2020;Mb
Passeriformes;Parulidae;Setophaga;Setophaga fusca;1;Manizales;Caldas;5.068;-75.505;07 Apr 2020;Mb
Passeriformes;Tyrannidae;Empidonax;Empidonax virescens;1;Manizales;Caldas;5.068;-75.505;04 Apr 2020;Mb
Passeriformes;Cardinalidae;Piranga;Piranga flava;1;Manizales;Caldas;5.068;-75.505;01 Apr 2020;R
Passeriformes;Fringillidae;Spinus;Spinus xanthogastrus;1;Manizales;Caldas;5.068;-75.505;25 Feb 2020;R
Falconiformes;Falconiformes;Caracara;Caracara cheriway;3;Manizales;Caldas;5.068;-75.505;12 Feb 2020;R
Passeriformes;Cardinalidae;Piranga;Piranga rubra;2;Manizales;Caldas;5.068;-75.505;25 Jan 2020;Mb
Passeriformes;Thraupidae;Stilpnia;Stilpnia cyanicollis;2;Manizales;Caldas;5.068;-75.505;25 Jan 2020;R
Cuculiformes;Cuculidae;Piaya;Piaya cayana;2;Manizales;Caldas;5.068;-75.505;19 Jan 2020;R
Passeriformes;Tyrannidae;Sayornis;Sayornis nigricans;1;Manizales;Caldas;5.068;-75.505;08 Jan 2020;R
Accipitriformes;Accipitridae;Buteo;Buteo platypterus;2;Manizales;Caldas;5.068;-75.505;17 Dec 2019;Mb
Passeriformes;Parulidae;Mniotilta;Mniotilta varia;1;Manizales;Caldas;5.068;-75.505;11 Dec 2019;Mb
Apodiformes;Trochilidae;Chaetocercus;Chaetocercus heliodor;1;Manizales;Caldas;5.068;-75.505;07 Dec 2019;R
Passeriformes;Tyrannidae;Myiodynastes;Myiodynastes luteiventris;1;Manizales;Caldas;5.068;-75.505;20 Oct 2019;Mb
Passeriformes;Turdidae;Catharus;Catharus ustulatus;1;Manizales;Caldas;5.068;-75.505;20 Oct 2019;Mb
Passeriformes;Parulidae;Setophaga;Setophaga ruticilla;2;Manizales;Caldas;5.068;-75.505;23 Sep 2019;Mb
Passeriformes;Thraupidae;Tangara;Tangara labradorides;2;Manizales;Caldas;5.068;-75.505;23 Sep 2019;R
Passeriformes;Icteridae;Icterus;Icterus chrysater;1;Manizales;Caldas;5.068;-75.505;22 Sep 2019;R
Passeriformes;Furnariidae;Xenops;Xenops rutilans;1;Manizales;Caldas;5.068;-75.505;03 Jul 2019;R
Piciformes;Picidae;Picumnus;Picumnus granadensis;1;Manizales;Caldas;5.068;-75.505;20 Jun 2019;E
Passeriformes;Tyrannidae;Myiozetetes;Myiozetetes cayanensis;1;Manizales;Caldas;5.068;-75.505;04 May 2019;R
Passeriformes;Cardinalidae;Pheucticus;Pheucticus ludovicianus;1;Manizales;Caldas;5.068;-75.505;06 Apr 2019;Mb
Passeriformes;Parulidae;Parkesia;Parkesia noveboracensis;1;Manizales;Caldas;5.068;-75.505;31 Mar 2019;mb
Piciformes;Picidae;Melanerpes;Melanerpes formicivorus;2;Manizales;Caldas;5.068;-75.505;27 Feb 2019;R
Passeriformes;Corvidae;Cyanocorax;Cyanocorax affinis;2;Manizales;Caldas;5.068;-75.505;26 Feb 2019;R
